type,date,symbol,currentPrice,open,previousClose,dayLow,dayHigh,recommendation,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,totalRevenue,revenuePerShare,totalDebt,debtToEquity,totalCash,totalCashPerShare,ebitda,earningsGrowth,revenueGrowth,price_change,average_price,price_to_average_ratio,rolling_mean,rolling_std,cumulative_return
Stock,2024-06-03 16:39:40.183128,AMZN,177.07,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.0,176.97990208333331,1.0005090855831995,177.09692857142858,0.07067122739115624,0.0015837999886871845
Stock,2024-06-03 16:39:52.246613,AMZN,177.1,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.016942452137569397,176.97990208333331,1.0006785963561564,177.11358571428573,0.05024109966211685,0.0017534928446178988
Stock,2024-06-03 16:40:04.509589,AMZN,177.06,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.022586109542621635,176.97990208333331,1.0004525819922139,177.0992857142857,0.04902623204561952,0.0015272357033768724
Stock,2024-06-03 16:40:17.466045,AMZN,177.1529,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.05246808991301588,176.97990208333331,1.0009775003524706,177.09255714285715,0.033753116258534055,0.0020527179139091523
Stock,2024-06-03 16:40:29.528132,AMZN,177.15,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.001637003966614703,176.97990208333331,1.0009611143110848,177.0968428571429,0.03927178194534079,0.0020363142711692372
Stock,2024-06-03 16:40:41.576065,AMZN,177.1998,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.028111769686711696,176.97990208333331,1.0012425021941935,177.11467142857143,0.05346602392460716,0.0023180044120143517
Stock,2024-06-03 16:40:53.635853,AMZN,177.1563,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.024548560438564238,176.97990208333331,1.0009967115734058,177.127,0.05135682362992006,0.0020719497709145163
Stock,2024-06-03 16:41:05.588429,AMZN,177.12,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.02049038052837071,176.97990208333331,1.000791603538128,177.13414285714285,0.04521798525473806,0.001866621415238523
Stock,2024-06-03 16:41:17.613029,AMZN,177.11,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.005645889792227354,176.97990208333331,1.0007350999471423,177.13557142857144,0.04410376833076397,0.0018100571299282109
Stock,2024-06-03 16:41:29.689976,AMZN,177.16,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.028231042854720556,176.97990208333331,1.0010176179020704,177.14985714285714,0.029234674455144303,0.0020928785564795493
Stock,2024-06-03 16:41:41.875584,AMZN,177.2004,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.022804244750518343,176.97990208333331,1.0012458924096526,177.15664285714288,0.03500237406946491,0.0023213982691330237
Stock,2024-06-03 16:41:53.941064,AMZN,177.21,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.005417594994150399,176.97990208333331,1.0013001358569988,177.16521428571426,0.04008234975557272,0.002375699983030888
Stock,2024-06-03 16:42:06.547573,AMZN,177.23,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.011286044805580708,176.97990208333331,1.00141314303897,177.16952857142857,0.04566233729937925,0.00248882855365129
Stock,2024-06-03 16:42:18.860374,AMZN,177.15,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.045139084805045915,176.97990208333331,1.0009611143110848,177.16862857142857,0.04602715554585263,0.0020363142711692372
Stock,2024-06-03 16:42:31.340500,AMZN,177.14,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.005644933672044328,176.97990208333331,1.0009046107200992,177.1714857142857,0.04302849554184807,0.001979749985858925
Stock,2024-06-03 16:42:43.280786,AMZN,177.095,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.025403635542498026,176.97990208333331,1.0006503445606636,177.16934285714282,0.04680836311137764,0.0017252107019627427
Stock,2024-06-03 16:42:56.118130,AMZN,177.08,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.00847003020976178,176.97990208333331,1.0005655891741851,177.1579142857143,0.057917626234107074,0.0016403642739974966
Stock,2024-06-03 16:43:09.193132,AMZN,177.02,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.03388299073865397,176.97990208333331,1.0002265676282713,177.1321428571429,0.07381605193877988,0.001300978562136068
Stock,2024-06-03 16:43:21.392144,AMZN,177.02,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.0,176.97990208333331,1.0002265676282713,177.10500000000002,0.07533259586670193,0.001300978562136068
